country,state,county,type,measure,beds,population,year
US,AL,colbert,ICU,1000HAB,0.404152,54435,2019
US,AL,conecuh,ACUTE,1000HAB,4.585343,12649,2018
US,AL,conecuh,ICU,1000HAB,0,12649,2019
US,AL,coosa,ICU,1000HAB,0,10955,2019
US,AL,covington,ACUTE,1000HAB,5.597164,37519,2016
US,AL,covington,ICU,1000HAB,0.346491,37519,2019
US,AL,crenshaw,ACUTE,1000HAB,4.687725,13866,2018
US,AL,crenshaw,ICU,1000HAB,0,13866,2019
US,AL,crenshaw,PSYCHIATRIC,1000HAB,2.019328,13866,2018
US,AL,cullman,ACUTE,1000HAB,1.774721,81703,2018
US,AL,cullman,ICU,1000HAB,0.146873,81703,2019
US,AL,cullman,PSYCHIATRIC,1000HAB,0.489578,81703,2018
US,AL,dale,ACUTE,1000HAB,1.801875,49393,2018
US,AL,dale,ICU,1000HAB,0.121475,49393,2019
US,AL,dallas,ACUTE,1000HAB,4.293952,40755,2018
US,AL,dallas,ICU,1000HAB,0.441664,40755,2019
US,AL,dekalb,ACUTE,1000HAB,1.882181,71194,2018
US,AL,dekalb,ICU,1000HAB,0.168554,71194,2019
US,AL,elmore,ACUTE,1000HAB,1.703935,80989,2018
US,AL,elmore,ICU,1000HAB,0.061737,80989,2019
US,AL,escambia,ACUTE,1000HAB,3.774488,37621,2018
US,AL,escambia,ICU,1000HAB,0.372133,37621,2019
US,AL,etowah,ACUTE,1000HAB,6.079587,103132,2018
US,AL,etowah,ICU,1000HAB,0.542993,103132,2019
US,AL,etowah,OTHER,1000HAB,0.426638,103132,2018
US,AL,etowah,PSYCHIATRIC,1000HAB,0.659349,103132,2018
US,AL,fayette,ACUTE,1000HAB,3.662124,16657,2018
US,AL,fayette,ICU,1000HAB,0.720418,16657,2019
US,AL,franklin,ACUTE,1000HAB,3.173898,31507,2018
US,AL,franklin,ICU,1000HAB,0.793474,31507,2018
US,AL,geneva,ACUTE,1000HAB,3.123589,26572,2018
US,AL,geneva,ICU,1000HAB,0.225802,26572,2019
US,AL,greene,ACUTE,1000HAB,2.343842,8533,2018
US,AL,greene,ICU,1000HAB,0,8533,2019
US,AL,hale,ACUTE,1000HAB,2.600867,14995,2018
US,AL,hale,ICU,1000HAB,0,14995,2019
US,AL,henry,ICU,1000HAB,0,17110,2019
US,AL,houston,ACUTE,1000HAB,6.291543,104108,2018
US,AL,houston,ICU,1000HAB,0.633957,104108,2019
US,AL,houston,OTHER,1000HAB,0.854881,104108,2018
US,AL,houston,PSYCHIATRIC,1000HAB,0.365006,104108,2018
US,AL,jackson,ACUTE,1000HAB,3.248863,52326,2018
US,AL,jackson,ICU,1000HAB,0.19111,52326,2019
US,AL,jefferson,ACUTE,1000HAB,6.672126,659460,2017
US,AL,jefferson,ICU,1000HAB,0.714221,659460,2019
US,AL,jefferson,OTHER,1000HAB,1.129712,659460,2018
US,AL,jefferson,PSYCHIATRIC,1000HAB,0.142541,659460,2018
US,AL,lamar,ICU,1000HAB,0,14021,2019
US,AL,lauderdale,ACUTE,1000HAB,3.866508,92590,2018
US,AL,lauderdale,ICU,1000HAB,0.518415,92590,2019
US,AL,lawrence,ACUTE,1000HAB,2.944004,33288,2018
US,AL,lawrence,ICU,1000HAB,0.180245,33288,2019
US,AL,lee,ACUTE,1000HAB,2.005147,156597,2018
US,AL,lee,ICU,1000HAB,0.178803,156597,2019
US,AL,limestone,ACUTE,1000HAB,0.774306,91695,2018
US,AL,limestone,ICU,1000HAB,0.109057,91695,2019
US,AL,limestone,OTHER,1000HAB,0.338077,91695,2018
US,AL,lowndes,ICU,1000HAB,0,10362,2019
US,AL,macon,ICU,1000HAB,0,19358,2019
US,AL,madison,ACUTE,1000HAB,3.080294,353213,2018
US,AL,madison,ICU,1000HAB,0.283115,353213,2019
US,AL,madison,OTHER,1000HAB,0.198181,353213,2018
US,AL,madison,PSYCHIATRIC,1000HAB,0.056623,353213,2018
US,AL,marengo,ACUTE,1000HAB,5.014435,19743,2018
US,AL,marengo,ICU,1000HAB,0.253254,19743,2019
US,AL,marion,ACUTE,1000HAB,3.992282,30058,2018
US,AL,marion,ICU,1000HAB,0.133076,30058,2019
US,AL,marshall,ACUTE,1000HAB,2.533302,94738,2018
US,AL,marshall,ICU,1000HAB,0.211109,94738,2019
US,AL,mobile,ACUTE,1000HAB,4.090962,414328,2018
US,AL,mobile,ICU,1000HAB,0.378927,414328,2019
US,AL,mobile,OTHER,1000HAB,0.419957,414328,2018
US,AL,mobile,PSYCHIATRIC,1000HAB,0.144813,414328,2018
US,AL,monroe,ACUTE,1000HAB,4.322833,21745,2018
US,AL,monroe,ICU,1000HAB,0.367901,21745,2019
US,AL,montgomery,ACUTE,1000HAB,4.174005,227120,2018
US,AL,montgomery,ICU,1000HAB,0.38746,227120,2019
US,AL,montgomery,OTHER,1000HAB,0.594399,227120,2018
US,AL,montgomery,PSYCHIATRIC,1000HAB,0.264178,227120,2018
US,AL,morgan,ACUTE,1000HAB,3.3737,119157,2018
US,AL,morgan,ICU,1000HAB,0.285338,119157,2019
US,AL,morgan,PSYCHIATRIC,1000HAB,0.621029,119157,2012
US,AL,perry,ICU,1000HAB,0,9680,2019
US,AL,pickens,ACUTE,1000HAB,2.776401,20170,2018
US,AL,pickens,ICU,1000HAB,0.198314,20170,2019
US,AL,pike,ACUTE,1000HAB,2.914051,33287,2018
US,AL,pike,ICU,1000HAB,0.270376,33287,2019
US,AL,randolph,ACUTE,1000HAB,1.509099,22530,2018
US,AL,randolph,ICU,1000HAB,0,22530,2019
US,AL,russell,ACUTE,1000HAB,1.19699,58480,2018
US,AL,russell,ICU,1000HAB,0.136799,58480,2019
US,AL,russell,OTHER,1000HAB,0.820793,58480,2018
US,AL,shelby,ACUTE,1000HAB,1.207353,208721,2018
US,AL,shelby,ICU,1000HAB,0.153315,208721,2019
US,AL,shelby,OTHER,1000HAB,0.464735,208721,2018
US,AL,st. clair,ACUTE,1000HAB,0.460103,86937,2018
US,AL,st. clair,ICU,1000HAB,0.069015,86937,2019
US,AL,sumter,ACUTE,1000HAB,2.522164,13084,2018
US,AL,sumter,ICU,1000HAB,0,13084,2019
US,AL,talladega,ACUTE,1000HAB,3.52339,80888,2018
US,AL,talladega,ICU,1000HAB,0.173079,80888,2019
US,AL,tallapoosa,ACUTE,1000HAB,3.116106,40756,2018
US,AL,tallapoosa,ICU,1000HAB,0.147218,40756,2019
US,AL,tuscaloosa,ACUTE,1000HAB,3.849842,204424,2018
US,AL,tuscaloosa,ICU,1000HAB,0.410911,204424,2019
US,AL,tuscaloosa,OTHER,1000HAB,0.156537,204424,2018
US,AL,tuscaloosa,PSYCHIATRIC,1000HAB,0.557664,204424,2018
US,AL,walker,ACUTE,1000HAB,4.112311,64927,2018
US,AL,walker,ICU,1000HAB,0.184823,64927,2019
US,AL,washington,ICU,1000HAB,1.492894,16746,2018
US,AL,wilcox,ACUTE,1000HAB,2.747504,10919,2018
US,AL,wilcox,ICU,1000HAB,0,10919,2019
US,AL,winston,ACUTE,1000HAB,2.461615,23968,2018
US,AL,winston,ICU,1000HAB,0.166889,23968,2019
US,AR,arkansas,ICU,1000HAB,1.362249,18352,2018
US,AR,ashley,ICU,1000HAB,1.588754,20771,2018
US,AR,baxter,ACUTE,1000HAB,6.521792,41093,2018
US,AR,baxter,ICU,1000HAB,0.413696,41093,2019
US,AR,benton,ACUTE,1000HAB,1.330299,251823,2016
US,AR,benton,ICU,1000HAB,0.119131,251823,2019
US,AR,boone,ACUTE,1000HAB,4.675911,37212,2018
US,AR,boone,ICU,1000HAB,0.644953,37212,2019
US,AR,bradley,ICU,1000HAB,3.183555,10994,2018
US,AR,calhoun,ICU,1000HAB,0,5194,2019
US,AR,carroll,ICU,1000HAB,1.691743,27782,2018
US,AR,chicot,ICU,1000HAB,2.271076,11008,2018
US,AR,chicot,OTHER,1000HAB,1.362645,11008,2018
US,AR,clark,ICU,1000HAB,1.111358,22495,2018
US,AR,clay,ICU,1000HAB,1.64582,15190,2018
US,AR,cleburne,ICU,1000HAB,0.985766,25361,2018
US,AR,cleveland,ICU,1000HAB,0,8332,2019
US,AR,columbia,ACUTE,1000HAB,2.917639,23992,2018
US,AR,columbia,ICU,1000HAB,0.250083,23992,2019
US,AR,conway,ICU,1000HAB,1.670325,20954,2018
US,AR,craighead,ACUTE,1000HAB,5.477428,104246,2016
US,AR,craighead,ICU,1000HAB,0.633118,104246,2019
US,AR,craighead,PSYCHIATRIC,1000HAB,0.575562,104246,2018
US,AR,crawford,ACUTE,1000HAB,1.658108,62119,2018
US,AR,crawford,ICU,1000HAB,0.128785,62119,2019
US,AR,crittenden,ACUTE,1000HAB,3.084541,49278,2012
US,AR,crittenden,ICU,1000HAB,0,49278,2019
US,AR,crittenden,PSYCHIATRIC,1000HAB,1.095824,49278,2018
US,AR,cross,ACUTE,1000HAB,1.456537,17164,2018
US,AR,cross,ICU,1000HAB,0,17164,2019
US,AR,dallas,ICU,1000HAB,3.295979,7585,2018
US,AR,desha,ACUTE,1000HAB,2.067141,12094,2018
US,AR,desha,ICU,1000HAB,2.067141,12094,2018
US,AR,drew,ACUTE,1000HAB,2.631579,18620,2018
US,AR,drew,ICU,1000HAB,0.268528,18620,2019
US,AR,faulkner,ACUTE,1000HAB,1.203806,121282,2018
US,AR,faulkner,ICU,1000HAB,0.206131,121282,2019
US,AR,faulkner,OTHER,1000HAB,0.214376,121282,2018
US,AR,franklin,ICU,1000HAB,0,17803,2019
US,AR,fulton,ICU,1000HAB,2.067483,12092,2018
US,AR,garland,ACUTE,1000HAB,5.55136,97994,2018
US,AR,garland,ICU,1000HAB,0.418393,97994,2019
US,AR,garland,OTHER,1000HAB,1.04088,97994,2016
US,AR,grant,ICU,1000HAB,0,18076,2019
US,AR,greene,ACUTE,1000HAB,2.91875,44197,2018
US,AR,greene,ICU,1000HAB,0.181008,44197,2019
US,AR,hempstead,ACUTE,1000HAB,3.565947,22154,2018
US,AR,hempstead,ICU,1000HAB,0.361109,22154,2019
US,AR,hot spring,ACUTE,1000HAB,2.986858,33480,2018
US,AR,hot spring,ICU,1000HAB,0.179211,33480,2019
US,AR,howard,ICU,1000HAB,1.855701,13472,2012
US,AR,independence,ACUTE,1000HAB,5.364315,37097,2018
US,AR,independence,ICU,1000HAB,0.323476,37097,2019
US,AR,izard,ICU,1000HAB,1.848976,13521,2018
US,AR,jackson,ACUTE,1000HAB,7.63096,17429,2018
US,AR,jackson,ICU,1000HAB,0,17429,2019
US,AR,jefferson,ACUTE,1000HAB,6.977428,71373,2018
US,AR,jefferson,ICU,1000HAB,0.476371,71373,2019
US,AR,johnson,ACUTE,1000HAB,3.058689,26155,2018
US,AR,johnson,ICU,1000HAB,0.305869,26155,2019
US,AR,lafayette,ICU,1000HAB,0,7051,2019
US,AR,lawrence,ICU,1000HAB,1.490135,16777,2018
US,AR,lee,ICU,1000HAB,0,9614,2019
US,AR,lincoln,ICU,1000HAB,0,13885,2019
US,AR,little river,ICU,1000HAB,2.00096,12494,2018
US,AR,logan,ICU,1000HAB,1.880561,21802,2018
US,AR,lonoke,ICU,1000HAB,0,71568,2019
US,AR,madison,ICU,1000HAB,0,15907,2019
US,AR,marion,ICU,1000HAB,0,16374,2019
US,AR,miller,ICU,1000HAB,0,43760,2019
US,AR,miller,PSYCHIATRIC,1000HAB,1.416819,43760,2018
US,AR,mississippi,ACUTE,1000HAB,3.859053,43534,2018
US,AR,mississippi,ICU,1000HAB,0.574264,43534,2018
US,AR,monroe,ICU,1000HAB,0,7420,2019
US,AR,montgomery,ICU,1000HAB,0,9059,2019
US,AR,nevada,ICU,1000HAB,0,8528,2019
US,AR,newton,ICU,1000HAB,0,7898,2019
US,AR,ouachita,ACUTE,1000HAB,4.102059,24378,2018
US,AR,ouachita,ICU,1000HAB,0.328165,24378,2019
US,AR,perry,ICU,1000HAB,0,10320,2019
US,AR,phillips,ACUTE,1000HAB,7.941387,19518,2018
US,AR,phillips,ICU,1000HAB,0.307409,19518,2019
US,AR,pike,ACUTE,1000HAB,2.937666,10893,2012
US,AR,pike,ICU,1000HAB,0,10893,2019
US,AR,poinsett,ICU,1000HAB,0,24098,2019
US,AR,polk,ACUTE,1000HAB,3.215911,20212,2018
US,AR,polk,ICU,1000HAB,0.296853,20212,2019
US,AR,pope,ACUTE,1000HAB,2.682573,63372,2018
US,AR,pope,ICU,1000HAB,0.173578,63372,2019
US,AR,prairie,ICU,1000HAB,0,8309,2019
US,AR,pulaski,ACUTE,1000HAB,6.597972,392848,2017
US,AR,pulaski,ICU,1000HAB,0.532012,392848,2019
US,AR,pulaski,OTHER,1000HAB,1.453488,392848,2018
US,AR,pulaski,PSYCHIATRIC,1000HAB,0.407282,392848,2018
US,AR,randolph,ACUTE,1000HAB,2.854859,17514,2018
US,AR,randolph,ICU,1000HAB,0.114194,17514,2019
US,AR,saline,ACUTE,1000HAB,1.436534,116252,2018
US,AR,saline,ICU,1000HAB,0.137632,116252,2019
US,AR,saline,PSYCHIATRIC,1000HAB,0.662354,116252,2018
US,AR,scott,ICU,1000HAB,0,10584,2019
US,AR,searcy,ICU,1000HAB,0,7925,2019
US,AR,sebastian,ACUTE,1000HAB,6.830923,127362,2018
US,AR,sebastian,ICU,1000HAB,0.541763,127362,2019
US,AR,sebastian,OTHER,1000HAB,0.824422,127362,2018
US,AR,sebastian,PSYCHIATRIC,1000HAB,0.588873,127362,2018
US,AR,sevier,ICU,1000HAB,2.034174,17206,2018
US,AR,sharp,ICU,1000HAB,0,17041,2019
US,AR,st. francis,ACUTE,1000HAB,4.421463,26688,2018
US,AR,st. francis,ICU,1000HAB,0.22482,26688,2019
US,AR,stone,ICU,1000HAB,2.009162,12443,2018
US,AR,union,ACUTE,1000HAB,4.147719,40022,2018
US,AR,union,ICU,1000HAB,0.39978,40022,2019
US,AR,van buren,ICU,1000HAB,1.492448,16751,2018
US,AR,washington,ACUTE,1000HAB,2.852251,223683,2016
US,AR,washington,ICU,1000HAB,0.272707,223683,2019
US,AR,washington,OTHER,1000HAB,0.554356,223683,2018
US,AR,washington,PSYCHIATRIC,1000HAB,0.50965,223683,2018
US,AR,white,ACUTE,1000HAB,6.428989,78706,2018
US,AR,white,ICU,1000HAB,0.165172,78706,2019
US,AR,woodruff,ICU,1000HAB,0,6763,2019
US,AR,yell,ACUTE,1000HAB,1.89806,21601,2018
US,AR,yell,ICU,1000HAB,1.620295,21601,2018
US,AZ,apache,ACUTE,1000HAB,0.279322,71602,2018
US,AZ,apache,ICU,1000HAB,0.349152,71602,2018
US,AZ,cochise,ACUTE,1000HAB,3.596383,126516,2017
US,AZ,cochise,ICU,1000HAB,0.09485,126516,2019
US,AZ,coconino,ACUTE,1000HAB,2.221597,138639,2018
US,AZ,coconino,ICU,1000HAB,0.295732,138639,2019
US,AZ,gila,ACUTE,1000HAB,1.298335,53145,2018
US,AZ,gila,ICU,1000HAB,0.150532,53145,2019
US,AZ,graham,ACUTE,1000HAB,1.299735,37700,2018
US,AZ,graham,ICU,1000HAB,0,37700,2019
US,AZ,greenlee,ICU,1000HAB,0,9368,2019
US,AZ,la paz,ACUTE,1000HAB,1.220882,20477,2018
US,AZ,la paz,ICU,1000HAB,0.146506,20477,2019
US,AZ,maricopa,ACUTE,1000HAB,1.957887,4155501,2018
US,AZ,maricopa,ICU,1000HAB,0.241607,4155501,2019
US,AZ,maricopa,OTHER,1000HAB,0.23872,4155501,2017
US,AZ,maricopa,PSYCHIATRIC,1000HAB,0.153772,4155501,2018
US,AZ,mohave,ACUTE,1000HAB,2.550185,204691,2018
US,AZ,mohave,ICU,1000HAB,0.390833,204691,2019
US,AZ,mohave,OTHER,1000HAB,0.322437,204691,2018
US,AZ,navajo,ACUTE,1000HAB,0.824823,107902,2018
US,AZ,navajo,ICU,1000HAB,0.231692,107902,2018
US,AZ,navajo,PSYCHIATRIC,1000HAB,0.148283,107902,2018
US,AZ,pima,ACUTE,1000HAB,2.144438,1007257,2018
US,AZ,pima,ICU,1000HAB,0.293867,1007257,2019
US,AZ,pima,OTHER,1000HAB,0.734669,1007257,2018
US,AZ,pima,PSYCHIATRIC,1000HAB,0.255148,1007257,2018
US,AZ,pinal,ACUTE,1000HAB,0.614001,405537,2018
US,AZ,pinal,ICU,1000HAB,0.054249,405537,2019
US,AZ,santa cruz,ACUTE,1000HAB,1.20799,46358,2018
US,AZ,santa cruz,ICU,1000HAB,0,46358,2019
US,AZ,yavapai,ACUTE,1000HAB,1.430045,220972,2018
US,AZ,yavapai,ICU,1000HAB,0.176493,220972,2019
US,AZ,yavapai,PSYCHIATRIC,1000HAB,0.072407,220972,2018
US,AZ,yuma,ACUTE,1000HAB,1.806335,204281,2018
US,AZ,yuma,ICU,1000HAB,0.205599,204281,2019
US,AZ,yuma,OTHER,1000HAB,0.200704,204281,2018
US,CA,alameda,ACUTE,1000HAB,2.204202,1629615,2017
US,CA,alameda,ICU,1000HAB,0.173047,1629615,2019
US,CA,alameda,OTHER,1000HAB,0.162001,1629615,2018
US,CA,alameda,PSYCHIATRIC,1000HAB,0.116592,1629615,2018
US,CA,alpine,ICU,1000HAB,0,1203,2019
US,CA,amador,ACUTE,1000HAB,1.393878,37306,2018
US,CA,amador,ICU,1000HAB,0.160832,37306,2019
US,CA,butte,ACUTE,1000HAB,2.380033,225207,2018
US,CA,butte,ICU,1000HAB,0.190935,225207,2019
US,CA,butte,OTHER,1000HAB,0.177614,225207,2018
US,CA,butte,PSYCHIATRIC,1000HAB,0.071046,225207,2018
US,CA,calaveras,ACUTE,1000HAB,1.065317,45057,2018
US,CA,calaveras,ICU,1000HAB,0,45057,2019
US,CA,colusa,ACUTE,1000HAB,2.234741,21479,2018
US,CA,colusa,ICU,1000HAB,0,21479,2019
US,CA,contra costa,ACUTE,1000HAB,1.708675,1123678,2017
US,CA,contra costa,ICU,1000HAB,0.145059,1123678,2019
US,CA,contra costa,PSYCHIATRIC,1000HAB,0.064965,1123678,2018
US,CA,del norte,ACUTE,1000HAB,1.785584,27442,2018
US,CA,del norte,ICU,1000HAB,0.218643,27442,2019
US,CA,el dorado,ACUTE,1000HAB,1.210713,185015,2018
US,CA,el dorado,ICU,1000HAB,0.151339,185015,2019
US,CA,el dorado,PSYCHIATRIC,1000HAB,0.086479,185015,2018
US,CA,fresno,ACUTE,1000HAB,2.094449,971616,2018
US,CA,fresno,ICU,1000HAB,0.168791,971616,2019
US,CA,fresno,PSYCHIATRIC,1000HAB,1.560287,971616,2018
US,CA,glenn,ACUTE,1000HAB,1.682477,27935,2018
US,CA,glenn,ICU,1000HAB,0,27935,2019
US,CA,humboldt,ACUTE,1000HAB,2.088715,135490,2018
US,CA,humboldt,ICU,1000HAB,0.23618,135490,2019
US,CA,humboldt,PSYCHIATRIC,1000HAB,0.11809,135490,2018
US,CA,imperial,ACUTE,1000HAB,1.489245,179957,2018
US,CA,imperial,ICU,1000HAB,0.155593,179957,2019
US,CA,inyo,ACUTE,1000HAB,3.40753,18195,2018
US,CA,inyo,ICU,1000HAB,0.219841,18195,2019
US,CA,kern,ACUTE,1000HAB,1.852644,878744,2018
US,CA,kern,ICU,1000HAB,0.16387,878744,2019
US,CA,kern,OTHER,1000HAB,0.112661,878744,2018
US,CA,kern,PSYCHIATRIC,1000HAB,0.120627,878744,2018
US,CA,kings,ACUTE,1000HAB,1.484855,150183,2015
US,CA,kings,ICU,1000HAB,0.146488,150183,2019
US,CA,lake,ACUTE,1000HAB,0.967314,64095,2018
US,CA,lake,ICU,1000HAB,0.124815,64095,2019
US,CA,lassen,ACUTE,1000HAB,1.207499,31470,2018
US,CA,lassen,ICU,1000HAB,0,31470,2019
US,CA,los angeles,ACUTE,1000HAB,2.533812,10105722,2017
US,CA,los angeles,ICU,1000HAB,0.210376,10105722,2019
US,CA,los angeles,OTHER,1000HAB,0.216016,10105722,2017
US,CA,los angeles,PSYCHIATRIC,1000HAB,0.255499,10105722,2017
US,CA,madera,ACUTE,1000HAB,0.686351,154440,2018
US,CA,madera,ICU,1000HAB,0.06475,154440,2019
US,CA,madera,OTHER,1000HAB,2.305102,154440,2018
US,CA,marin,ACUTE,1000HAB,1.756041,260814,2018
US,CA,marin,ICU,1000HAB,0.253054,260814,2019
US,CA,mariposa,ACUTE,1000HAB,1.925473,17658,2018
US,CA,mariposa,ICU,1000HAB,0,17658,2019
US,CA,mendocino,ACUTE,1000HAB,1.611484,87497,2018
US,CA,mendocino,ICU,1000HAB,0.160005,87497,2019
US,CA,merced,ACUTE,1000HAB,0.860167,267390,2018
US,CA,merced,ICU,1000HAB,0.089757,267390,2019
US,CA,merced,PSYCHIATRIC,1000HAB,0.059838,267390,2018
US,CA,modoc,ACUTE,1000HAB,12.531884,9017,2018
US,CA,modoc,ICU,1000HAB,0,9017,2019
US,CA,mono,ACUTE,1000HAB,1.209276,14058,2018
US,CA,mono,ICU,1000HAB,0.142268,14058,2019
US,CA,monterey,ACUTE,1000HAB,1.830698,433168,2018
US,CA,monterey,ICU,1000HAB,0.062331,433168,2019
US,CA,napa,ACUTE,1000HAB,2.567285,141005,2018
US,CA,napa,ICU,1000HAB,0.226942,141005,2019
US,CA,napa,PSYCHIATRIC,1000HAB,10.056381,141005,2018
US,CA,nevada,ACUTE,1000HAB,1.780692,98838,2018
US,CA,nevada,ICU,1000HAB,0.101176,98838,2019
US,CA,orange,ACUTE,1000HAB,2.520743,3155816,2017
US,CA,orange,ICU,1000HAB,0.206286,3155816,2019
US,CA,orange,OTHER,1000HAB,0.114075,3155816,2018
US,CA,orange,PSYCHIATRIC,1000HAB,0.040877,3155816,2018
US,CA,placer,ACUTE,1000HAB,1.952078,374985,2018
US,CA,placer,ICU,1000HAB,0.186674,374985,2019
US,CA,placer,PSYCHIATRIC,1000HAB,0.042668,374985,2018
US,CA,plumas,ACUTE,1000HAB,4.646443,18724,2018
US,CA,plumas,ICU,1000HAB,0,18724,2019
US,CA,riverside,ACUTE,1000HAB,1.597026,2355002,2018
US,CA,riverside,ICU,1000HAB,0.149044,2355002,2019
US,CA,riverside,OTHER,1000HAB,0.042463,2355002,2018
US,CA,riverside,PSYCHIATRIC,1000HAB,0.035669,2355002,2018
US,CA,sacramento,ACUTE,1000HAB,2.446837,1495400,2017
US,CA,sacramento,ICU,1000HAB,0.264812,1495400,2019
US,CA,sacramento,OTHER,1000HAB,0.066872,1495400,2018
US,CA,sacramento,PSYCHIATRIC,1000HAB,0.267487,1495400,2018
US,CA,san benito,ACUTE,1000HAB,3.084999,58671,2018
US,CA,san benito,ICU,1000HAB,0.136354,58671,2019
US,CA,san bernardino,ACUTE,1000HAB,1.868264,2121220,2017
US,CA,san bernardino,ICU,1000HAB,0.193285,2121220,2019
US,CA,san bernardino,OTHER,1000HAB,0.228171,2121220,2018
US,CA,san bernardino,PSYCHIATRIC,1000HAB,0.698655,2121220,2018
US,CA,san diego,ACUTE,1000HAB,1.908234,3283665,2017
US,CA,san diego,ICU,1000HAB,0.173587,3283665,2019
US,CA,san diego,OTHER,1000HAB,0.1812,3283665,2018
US,CA,san diego,PSYCHIATRIC,1000HAB,0.184245,3283665,2018
US,CA,san francisco,ACUTE,1000HAB,4.986908,864263,2017
US,CA,san francisco,ICU,1000HAB,0.389928,864263,2019
US,CA,san francisco,OTHER,1000HAB,0.069423,864263,2018
US,CA,san francisco,PSYCHIATRIC,1000HAB,0.529931,864263,2018
US,CA,san joaquin,ACUTE,1000HAB,1.697155,724153,2017
